City,Original Equipment Manufacturer,Car,Year,Price,Kms Driven,Owner,Fuel Type,Transmission,Mileage,Max Power,Engine
Bangalore,Hyundai,Hyundai i20,2013,4.9,68000.0,2,Petrol,Manual,18.5,82.85,1197.0
Bangalore,Mahindra,Mahindra KUV 100,2016,4.94,23017.0,1,Diesel,Manual,25.32,77.0,1198.0
Bangalore,Hyundai,Hyundai i20,2013,5.25,83000.0,2,Diesel,Manual,21.27,88.76,1396.0
Bangalore,BMW,BMW X3,2016,28.9,92000.0,2,Diesel,Automatic,16.55,187.74,1995.0
Bangalore,Maruti,Maruti Wagon R,2018,5.5,62139.0,1,Petrol,Manual,20.51,67.04,998.0
Bangalore,Hyundai,Hyundai i10,2013,3.65,74000.0,1,Lpg,Manual,19.2,68.05,1086.0
Bangalore,Renault,Renault KWID,2016,4.2,26500.0,2,Petrol,Automatic,24.04,67.0,999.0
Bangalore,Volvo,Volvo S60,2017,18.95,81716.0,1,Diesel,Automatic,27.03,190.0,1969.0
Bangalore,Mercedes-Benz,Mercedes-Benz E-Class,2018,59.9,24000.0,2,Diesel,Automatic,17.0,254.8,2987.0
Bangalore,Mahindra,Mahindra XUV300,2022,10.5,10000.0,1,Petrol,Automatic,17.0,108.6,1197.0
Bangalore,MG,MG Hector Plus,2021,20.75,18000.0,1,Petrol,Automatic,16.56,141.0,1451.0
Bangalore,Honda,Honda Brio,2013,3.94,38197.0,1,Petrol,Manual,19.4,86.8,1198.0
Bangalore,Maruti,Maruti Baleno,2017,7.25,23000.0,2,Petrol,Automatic,19.56,81.8,1197.0
Bangalore,Maruti,Maruti Alto K10,2013,2.4,50000.0,1,Petrol,Manual,20.92,67.1,998.0
Bangalore,Renault,Renault Kiger,2022,8.35,10000.0,1,Petrol,Automatic,19.03,71.01,999.0
Bangalore,Hyundai,Hyundai Grand i10,2019,6.95,19000.0,1,Petrol,Manual,18.9,81.86,1197.0
Bangalore,Kia,Kia Seltos,2020,17.25,14000.0,1,Petrol,Automatic,16.5,138.08,1353.0
Bangalore,Hyundai,Hyundai EON,2014,3.3,29268.0,1,Petrol,Manual,21.1,55.2,814.0
Bangalore,Volkswagen,Volkswagen Vento,2019,9.9,20000.0,1,Petrol,Automatic,18.19,103.2,1197.0
Bangalore,Toyota,Toyota Yaris,2018,7.5,30000.0,1,Petrol,Manual,17.1,105.5,1496.0
Bangalore,Honda,Honda Jazz,2018,7.55,64374.0,1,Petrol,Automatic,19.0,88.7,1199.0
Bangalore,MG,MG Hector,2021,17.5,30000.0,1,Diesel,Manual,17.41,167.68,1956.0
Bangalore,Hyundai,Hyundai Alcazar,2022,20.83,7100.0,1,Petrol,Automatic,14.2,156.9,1999.0
Bangalore,Hyundai,Hyundai i10,2010,2.71,43679.0,1,Petrol,Manual,19.81,68.05,1086.0
Bangalore,Hyundai,Hyundai Creta,2018,12.8,40000.0,1,Petrol,Automatic,14.8,121.3,1591.0
Bangalore,Hyundai,Hyundai i20,2012,4.36,40562.0,1,Diesel,Manual,22.54,88.76,1396.0
Bangalore,Hyundai,Hyundai Creta,2021,16.75,26500.0,2,Petrol,Automatic,,138.12,1397.0
Bangalore,Hyundai,Hyundai Venue,2019,12.5,20000.0,1,Petrol,Automatic,18.15,118.35,998.0
Bangalore,Mahindra,Mahindra XUV500,2016,13.5,58600.0,1,Diesel,Automatic,16.0,140.0,2179.0
Bangalore,Hyundai,Hyundai Venue,2019,12.5,20000.0,1,Petrol,Automatic,18.15,118.35,998.0
Bangalore,Volkswagen,Volkswagen T-Roc,2020,22.25,42050.0,1,Petrol,Automatic,18.4,147.94,1498.0
Bangalore,Maruti,Maruti Celerio,2015,4.75,65017.0,1,Petrol,Automatic,23.1,67.04,998.0
Bangalore,BMW,BMW 3 Series,2008,6.0,80000.0,2,Diesel,Automatic,13.2,170.0,1995.0
Bangalore,Jeep,Jeep Compass,2021,24.5,30000.0,1,Petrol,Automatic,14.1,160.77,1368.0
Bangalore,Kia,Kia Seltos,2020,16.25,20000.0,1,Petrol,Automatic,16.5,138.08,1353.0
Bangalore,Skoda,Skoda Superb,2014,16.5,36349.0,1,Diesel,Automatic,17.2,138.1,1968.0
Bangalore,Hyundai,Hyundai i10,2009,2.49,80000.0,3,Petrol,Manual,20.36,78.9,1197.0
Bangalore,Renault,Renault Duster,2014,6.3,83394.0,2,Petrol,Manual,13.24,102.57,1598.0
Bangalore,Audi,Audi Q5,2016,25.99,30000.0,2,Diesel,Automatic,14.16,174.3,1968.0
Bangalore,Hyundai,Hyundai i10,2009,2.49,80000.0,3,Petrol,Manual,20.36,78.9,1197.0
Bangalore,Maruti,Maruti Alto K10,2017,3.85,52204.0,1,Petrol,Manual,24.39,65.71,998.0
